Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
ABDMINOPLASTIA + PEXIA DE RETO ABDOMINAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
ABDOMINOPLASTIA	 273,03 	 993,15 	 273,03 	 993,15 			 546,07 	 1.986,30 	 2.259,33 
ABDOMINOPLASTIA + LIPOASPIRAÇÃO	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
ACESSO VENOSO  CENTRAL	 1.901,25 	 3.705,75 	 1.926,34 	 4.275,32 			 3.827,58 	 7.981,07 	 9.907,41 
ADENOAMIGDALECTOMA	 6.499,58 	 13.846,36 	 5.493,07 	 11.689,64 	 1.407,15 	 2.709,16 	 13.399,80 	 28.245,16 	 33.738,23 
ADENOAMIGDALECTOMIA + FRENULECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
ADENOAMIGDALECTOMIA + MICRO DE LARINGE	 272,97 	 532,20 	 545,94 	 1.064,39 			 818,90 	 1.596,59 	 2.142,53 
ADENOAMIGDALECTOMIA + TUBO DE VENTILAÇÃO 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
ADENOIDECTOMIA	 2.174,08 	 3.444,57 	 2.765,42 	 5.875,68 	 225,86 	 308,00 	 5.165,36 	 9.628,25 	 12.393,67 
ADENOIDECTOMIA + SEPTOPLASTIA + TUBNECTOMIA + SINUSECTOMIA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
ALARGAMENTO DA ENTRADA VAGINAL 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
ALCOOLIZAÇÃO	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
AMIGDALECTOMIA	 4.183,17 	 8.580,15 	 2.425,92 	 5.986,33 	 2.089,53 	 3.809,17 	 8.698,62 	 18.375,66 	 20.801,58 
AMIGDALECTOMIA + ADENOIDECTOMIA	 4.944,83 	 12.314,40 	 1.935,47 	 5.182,86 	 545,94 	 1.064,39 	 7.426,23 	 18.561,65 	 20.497,11 
AMIGDALECTOMIA + ADENOIDECTOMIA 	 353,41 	 618,83 	 544,07 	 1.485,11 			 897,48 	 2.103,95 	 2.648,01 
AMIGDALECTOMIA + SEPTOPLASTIA + TURBINECTOMIA			 537,05 	 1.408,15 			 537,05 	 1.408,15 	 1.945,20 
AMIGDALECTOMIA + SEPTOPLASTIA + TURBINECTOMIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
AMPLIAÇÃO DE MARGEM	 843,34 	 1.734,24 	 353,41 	 618,83 			 1.196,75 	 2.353,07 	 2.706,48 
AMPUTAÇÃO	 4.949,39 	 10.170,97 	 3.299,21 	 7.144,14 			 8.248,60 	 17.315,11 	 20.614,32 
ANASTOMOSE BILEO-DIGESTIVA	 3.236,31 	 8.070,70 	 918,66 	 1.923,85 			 4.154,97 	 9.994,55 	 10.913,21 
ANGIOFIBROMA NASAL 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
ANORETOPLASTIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
ANQUILOGLOSSIA	 596,24 	 1.213,93 					 596,24 	 1.213,93 	 1.213,93 
ANTRECTOMIA + VAGOTOMIA	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
APENDICECTOMIA	 545,94 	 1.064,39 	 225,86 	 308,00 	 136,52 	 496,58 	 908,32 	 1.868,97 	 2.094,83 
APERFEIFOAMENTO DE TECNICA CIRURGICA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
APLICAÇÃO DE INJEÇÃO INTRAVITREA	 37.471,31 	 89.702,63 	 33.556,48 	 91.958,59 			 71.027,79 	 181.661,21 	 215.217,69 
